,Constituency Code,Constituency,Candidate Number,Name of Candidate,No. of Votes Received,Camp,Elected
377,H12,TIN KEUNG,1,CHAN ON TAI,3075,B,False
378,H12,TIN KEUNG,2,"CHENG MAN KIT
(JC)",4608,D,True
379,H13,TSUI CHUK & PANG CHING,1,YAU HON PONG,4087,D,True
380,H13,TSUI CHUK & PANG CHING,2,CHAN YING LEONARD,3838,I,False
381,H13,TSUI CHUK & PANG CHING,3,SHAM HI MING ANTHONY,476,I,False
382,H14,CHUK YUEN SOUTH,1,LEE KIN CHUNG,2576,B,False
383,H14,CHUK YUEN SOUTH,2,HUI KAM SHING,3838,D,True
384,H15,CHUK YUEN NORTH,1,CHENG TSZ KIN,4221,D,True
385,H15,CHUK YUEN NORTH,2,TING CHI WAI ROY,3384,B,False
386,H16,TSZ WAN WEST,1,CHEUNG MAU CHING,5010,D,True
387,H16,TSZ WAN WEST,2,YUEN KWOK KEUNG,3642,B,False
388,H17,CHING OI,1,SHAM YU HIN,5764,D,True
389,H17,CHING OI,2,POON CHEUK BUN,3670,B,False
390,H18,CHING ON,1,LAU HOK LIM,2584,B,False
391,H18,CHING ON,2,WONG YAT YUK,5862,D,True
392,H19,TSZ WAN EAST,1,HO HON MAN,3624,B,False
393,H19,TSZ WAN EAST,2,MOK YEE HA,4709,D,True
394,H20,KING FU,1,MOK KA HAN ROSANDA,5559,D,True
395,H20,KING FU,2,WONG CHUN KIN,3903,B,False
396,H21,CHOI WAN EAST,1,CHOY TSZ KIN TIMOTHY,2773,B,False
397,H21,CHOI WAN EAST,2,LIU SING LEE,2976,D,True
398,H22,CHOI WAN SOUTH,1,KONG KING SAN,2414,B,False
399,H22,CHOI WAN SOUTH,2,SHUM WAN WA,3335,D,True
400,H23,CHOI WAN WEST,1,CHAN LEE SHING,3501,D,True
401,H23,CHOI WAN WEST,2,TAM MEI PO,2936,B,False
402,H24,CHI CHOI,1,SO KA LOK,2856,B,False
403,H24,CHI CHOI,2,WU CHI KIN,4055,D,True
404,H25,CHOI HUNG,1,MOCK HO CHIT SEAN,3523,D,True
405,H25,CHOI HUNG,2,MOK KIN WING,3439,B,False
406,J01,KWUN TONG CENTRAL,1,CHAN WAH YU NELSON,2245,B,False
407,J01,KWUN TONG CENTRAL,2,LEUNG YIK TING EDITH,2863,D,True
408,J02,KOWLOON BAY,1,POON YAM WAI CHUN WINNIE,3454,D,True
409,J02,KOWLOON BAY,2,LAI YU HING,557,I,False
410,J02,KOWLOON BAY,3,LAI CHUN MAN,1286,D,False
411,J03,KAI YIP,1,AU YEUNG KWAN NOK,3794,B,False
412,J03,KAI YIP,2,WAN KA HIM,4433,D,True
413,J04,LAI CHING,1,"BUX SHEIK ANTHONY
(ANTHONY BUX)",5364,D,True
414,J04,LAI CHING,2,CHAN SIN TING,2494,B,False
415,J05,PING SHEK,1,LAI PO KWAI,2982,D,True
416,J05,PING SHEK,2,CHAN CHUN KIT,2849,B,False
417,J06,CHOI TAK,1,TAM SIU CHEUK,2882,B,True
418,J06,CHOI TAK,2,LAM TSZ KUEN,2156,D,False
419,J07,JORDAN VALLEY,1,NGAN MAN YU,3694,B,True
420,J07,JORDAN VALLEY,2,WONG KA LOK,3560,D,False
421,J08,SHUN TIN,1,"KWOK BIT CHUN
(BENJAMIN KWOK)",3136,B,False
422,J08,SHUN TIN,2,MOK KIN SHING,5123,D,True
423,J09,SHEUNG SHUN,1,CHAN CHO KWONG,949,B,False
424,J09,SHEUNG SHUN,2,LEUNG MARK HON KEI,3006,D,False
425,J09,SHEUNG SHUN,3,FU PIK CHUN,4200,B,True
426,J10,ON LEE,1,CHOY CHAK HUNG,3687,D,True
427,J10,ON LEE,2,TSANG WING FAI,2704,B,False
428,J11,KWUN TONG ON TAI,1,LIN KUAN TSUN,2241,D,False
429,J11,KWUN TONG ON TAI,2,LAM WAI,2901,B,True
430,J12,SAU MAU PING NORTH,1,TANG WAI MAN RAYMOND,3993,D,True
431,J12,SAU MAU PING NORTH,2,WONG CHUN PING,3564,B,False
432,J13,SAU MAU PING CENTRAL,1,SO WAI YEUNG DANNY,3872,D,False
433,J13,SAU MAU PING CENTRAL,2,CHEUNG PUI KONG,4176,B,True
434,J14,ON TAT,1,LEE SENG CHANG,38,I,False
435,J14,ON TAT,2,LAU PAK YUEN,43,I,False
436,J14,ON TAT,3,"SIU HO YIN
(JASON)",2393,D,False
437,J14,ON TAT,4,HSU YAU WAI,3499,B,True
438,J15,SAU MAU PING SOUTH,1,LEI TSZ SHING,3711,D,False
439,J15,SAU MAU PING SOUTH,2,CHAN YIU HUNG JIMMY,3977,B,True
440,J16,PO TAT,1,FUNG KA LUNG,4311,D,True
441,J16,PO TAT,2,HUNG KAM IN,3946,B,False
442,J17,KWONG TAK,1,OR CHONG SHING WILSON,4514,B,True
443,J17,KWONG TAK,2,TAM TAK CHI,4327,D,False
444,J18,HING TIN,1,"IP TSZ KIT
(NELSON)",4751,D,True
445,J18,HING TIN,2,"YU SIU LUN
(ALAN YU)",3417,B,False
446,J19,LAM TIN,1,KAN MING TUNG,4080,B,True
447,J19,LAM TIN,2,FUNG TAK SUM,4030,D,False
448,J20,PING TIN,1,"CHAN YIK SHUN
(EASON CHAN)",4490,D,True
449,J20,PING TIN,2,YIU PAK LEUNG,4012,B,False
450,J21,PAK NGA,1,HO KAI MING,3066,B,False
451,J21,PAK NGA,2,CHAN YU MING,138,D,False
452,J21,PAK NGA,3,CHAN MAN KIN,3825,D,True
453,J22,CHUN CHEUNG,1,WONG KAI SAN,2721,B,False
454,J22,CHUN CHEUNG,2,TSE SUK CHUN,4480,D,True
455,J23,YAU TONG EAST,1,KUNG CHUN KI,2997,D,True
456,J23,YAU TONG EAST,2,CHEUNG KI TANG,2972,B,False
457,J24,YAU CHUI,1,LEUNG KA SHING,68,D,False
458,J24,YAU CHUI,2,CHUNG SUI KWAN,2572,D,False
459,J24,YAU CHUI,3,CHAN FU KING,605,I,False
460,J24,YAU CHUI,4,PANG CHI SANG,2857,B,True
461,J25,YAU LAI,1,WANG WAI LUN,3070,D,True
462,J25,YAU LAI,2,LAI SHU HO PATRICK,2530,B,False
463,J26,YAU TONG WEST,1,LUI TUNG HAI,3853,B,True
464,J26,YAU TONG WEST,2,WONG SIU NAM MICHAEL,3541,D,False
465,J27,LAGUNA CITY,1,TANG WING CHUN,3951,B,False
466,J27,LAGUNA CITY,2,LI WAI LAM WILLIAM,6450,D,True
467,J28,KING TIN,1,LUI SIK KWAN DANNY,3518,B,False
468,J28,KING TIN,2,WONG KA YING,5638,D,True
469,J29,TSUI PING,1,CHENG KEUNG FUNG,3822,B,False
470,J29,TSUI PING,2,HUNG CHUN HIN,4203,D,True
471,J30,HIU LAI,1,CHEUNG MAN FUNG WILSON,5470,D,True
472,J30,HIU LAI,2,SO LAI CHUN,3644,B,False
473,J31,PO LOK,1,"FUNG WANG YUI
(RIO)",2252,B,False
474,J31,PO LOK,2,CHENG KENG IEONG,4070,D,True
475,J32,YUET WAH,1,HSU HOI SHAN,2557,B,False
476,J32,YUET WAH,2,LEUNG JANNELLE ROSALYNNE,2969,D,True
477,J33,HIP HONG,1,CHAN CHUNG BUN BUNNY,2329,B,False
478,J33,HIP HONG,2,LI KA TAT,2612,D,True
479,J34,LOK WAH SOUTH,1,LEE KA HANG,2774,B,False
480,J34,LOK WAH SOUTH,2,SO KOON CHUNG KEVIN,2856,D,True
481,J35,LOK WAH NORTH,1,WONG CHI KEN,3628,D,True
482,J35,LOK WAH NORTH,2,LIANG LI,2346,B,False
483,J36,HONG LOK,1,CHAN CHRIS KA YIN,3231,D,True
484,J36,HONG LOK,2,MA YAT CHIU,2359,B,False
485,J37,TING ON,1,KAM KIN,2752,B,False
486,J37,TING ON,2,WONG KAI MING,3522,D,True
487,J38,UPPER NGAU TAU KOK ESTATE,1,CHENG CHUN WAH,3093,D,False
488,J38,UPPER NGAU TAU KOK ESTATE,2,LEUNG TANG FUNG,3247,B,True
489,J39,LOWER NGAU TAU KOK ESTATE,1,CHEUNG YIU PAN,3704,B,False
490,J39,LOWER NGAU TAU KOK ESTATE,2,LI WING SHAN,3962,D,True
491,J40,TO TAI,1,LEE KWAN CHAK,3940,D,True
492,J40,TO TAI,2,YIP HING KWOK,2398,B,False
493,K01,TAK WAH,1,LO SIU KIT,1756,B,False
494,K01,TAK WAH,2,LAU JACKSON,1964,D,True
495,K02,YEUNG UK ROAD,1,NG CHUN YU,2614,B,False
496,K02,YEUNG UK ROAD,2,WONG MAN CHAU,108,I,False
497,K02,YEUNG UK ROAD,3,LAM SEK TIM,2788,D,True
498,K03,TSUEN WAN SOUTH,1,CHAN KIT WILLIAM,1860,B,False
499,K03,TSUEN WAN SOUTH,2,LUK LING CHUNG ANTONIO,3261,D,True
500,K03,TSUEN WAN SOUTH,3,MA TING HEI,880,I,False
501,K04,HOI BUN,1,"MOK YUEN KWAN
(MARCUS)",1940,B,False
502,K04,HOI BUN,2,SHUM LESTER,5113,D,True
503,K04,HOI BUN,3,CHAN YUE HAI LEO,22,D,False
504,K04,HOI BUN,4,"CHOW PING TIM
(TIMMY)",1974,B,False
505,K05,TSUEN WAN WEST,1,YICK SHING CHUNG ANGUS,4718,D,True
506,K05,TSUEN WAN WEST,2,LAM LAM NIXIE,2910,B,False
507,K06,CLAGUE GARDEN,1,CHAN KIM KAM,2797,D,True
508,K06,CLAGUE GARDEN,2,KOO YEUNG PONG,2730,B,False
509,K07,TSUEN WAN CENTRE,1,LI HUNG POR,3887,D,True
510,K07,TSUEN WAN CENTRE,2,TSANG TAI,2479,B,False
511,K08,DISCOVERY PARK,1,LAU CHEUK YU,4498,D,True
512,K08,DISCOVERY PARK,2,TIEN MICHAEL PUK SUN,3804,B,False
513,K09,FUK LOI,1,NG KA YEE VICTORIA,226,I,False
514,K09,FUK LOI,2,KOT SIU YUEN,2871,B,True
515,K09,FUK LOI,3,WONG CHARM LUEN,2351,D,False
516,K10,LUK YEUNG,1,PUN LONG CHUNG ROY,3677,D,True
517,K10,LUK YEUNG,2,LAM FAAT KANG,2810,B,False
518,K11,MA WAN,1,TAM HOI PONG,3538,D,True
519,K11,MA WAN,2,WONG CHUN YEUNG,1493,B,False
520,K11,MA WAN,3,LUN CHI WAI,90,I,False
521,K12,TSUEN WAN RURAL,1,TAM PUI YAN,3054,D,False
522,K12,TSUEN WAN RURAL,2,"NG HIN LUNG
(NORRIS)",3409,I,True
523,K12,TSUEN WAN RURAL,3,KWAN SAN WAI,1221,B,False
524,K13,TING SHAM,1,WAN CHUEN LUN SAMSON,18,I,False
525,K13,TING SHAM,2,LAU CHI HUNG,3489,D,True
526,K13,TING SHAM,3,CHENG CHIT PUN,2931,B,False
527,K13,TING SHAM,4,LAM BRIAN,149,B,False
528,K14,LAI TO,1,WONG WAI KIT,3624,B,False
529,K14,LAI TO,2,"TSE MAN CHAK
(RONALD)",5098,D,True
530,K15,ALLWAY,1,CHIU YAN LOY,4444,D,True
531,K15,ALLWAY,2,LAM YUEN PUN,3446,B,False
532,K16,CHEUNG SHEK,1,LAI MAN FAI,2857,D,True
533,K16,CHEUNG SHEK,2,CHAN CHUN CHUNG,2387,B,False
534,K17,SHEK WAI KOK,1,LIU HO WAN,2464,D,False
535,K17,SHEK WAI KOK,2,MAN YU MING,2684,B,True
536,K18,LEI MUK SHUE WEST,1,FUNG CHEUK SUM,2108,B,False
537,K18,LEI MUK SHUE WEST,2,WONG KA WA,4129,D,True
538,K19,LEI MUK SHUE EAST,1,LAM HIN FAI,2441,B,False
539,K19,LEI MUK SHUE EAST,2,CHAN YUEN SUM SUMLY,5214,D,True
540,L01,TUEN MUN TOWN CENTRE,1,"LAI CHUN WING
(ALFRED)",4161,D,True
541,L01,TUEN MUN TOWN CENTRE,2,AU CHI YUEN,2424,B,False
542,L02,SIU CHI,1,WONG KA LEUNG,1623,B,False
543,L02,SIU CHI,2,LAM CHUNG HOI,5798,D,True
544,L03,ON TING,1,FUNG PUI YIN,3313,B,False
545,L03,ON TING,2,KONG FUNG YI,4204,D,True
546,L04,SIU TSUI,1,YIP MAN PAN,4224,B,False
547,L04,SIU TSUI,2,YAN PUI LAM,5769,D,True
548,L05,YAU OI SOUTH,1,LAM KIN CHEUNG,3954,D,True
549,L05,YAU OI SOUTH,2,TSANG HIN HONG,2279,B,False
550,L06,YAU OI NORTH,1,LAM MING YAN,4074,D,True
551,L06,YAU OI NORTH,2,IP CHUN YUEN,2345,B,False
552,L07,TSUI HING,1,POON CHI KIN,4662,D,True
553,L07,TSUI HING,2,CHU YIU WAH,3028,B,False
554,L08,SHAN KING,1,NG DIP PUI,2653,B,False
555,L08,SHAN KING,2,WONG TAN CHING,4780,D,True
556,L09,KING HING,1,LAU HANG YI,105,I,False
557,L09,KING HING,2,LAW CHEUK YUNG,2756,D,False
558,L09,KING HING,3,CHAN YAU HOI,2893,B,True
559,L10,HING TSAK,1,TSANG CHUN HING,3815,D,True
560,L10,HING TSAK,2,TSUI FAN,3390,B,False
561,L11,SAN HUI,1,CHEUNG HO SUM,3276,D,True
562,L11,SAN HUI,2,KWU HON KEUNG,2140,B,False
563,L12,SO KWUN WAT,1,CHAN JEREMY KA CHING,982,B,False
564,L12,SO KWUN WAT,2,LAU KAI MAN PETER,466,B,False
565,L12,SO KWUN WAT,3,MA KEE,1648,D,True
566,L13,SAM SHING,1,MO KWAN TAI MICHAEL,2834,D,True
567,L13,SAM SHING,2,SO SHIU SHING,2198,B,False
568,L14,HANFORD,1,CHU SHUN NGA BEATRICE,3857,D,True
569,L14,HANFORD,2,FONG SHUN YAN,1981,B,False
570,L15,YUET WU,1,KWUN TUNG WING,141,B,False
571,L15,YUET WU,2,CHEUNG HANG FAI,2415,B,False
572,L15,YUET WU,3,WONG HUNG MING,4419,D,True
573,L16,SIU HEI,1,YAN SIU NAM,3934,D,True
574,L16,SIU HEI,2,TSOI SHING HIN,1808,B,False
575,L17,WU KING,1,CHOW KAI LIM,3724,D,True
576,L17,WU KING,2,LEUNG KIN MAN,1766,B,False
577,L18,BUTTERFLY,1,YEUNG CHI HANG,4279,D,True
578,L18,BUTTERFLY,2,CHUNG KIN FUNG,2809,B,False
579,L19,FU SUN,1,LEE KA WAI,5486,D,True
580,L19,FU SUN,2,KAM MAN FUNG,3599,B,False
581,L20,LOK TSUI,1,HO KWAN YIU,2626,B,False
582,L20,LOK TSUI,2,LO CHUN YU,3839,D,True
583,L20,LOK TSUI,3,CHIANG CHING MAN,56,I,False
584,L21,LUNG MUN,1,TSANG KAM WING,4410,D,True
585,L21,LUNG MUN,2,LUNG SHUI HING,2931,B,False
586,L22,SAN KING,1,CHAN TSIM HENG,2040,B,False
587,L22,SAN KING,2,WONG LAI SHEUNG CATHERINE,4698,D,True
588,L23,LEUNG KING,1,CHING CHI HUNG,2697,B,False
589,L23,LEUNG KING,2,WONG TAK YUEN,4073,D,True
590,L23,LEUNG KING,3,TANG MAN KIT,303,I,False
591,L24,TIN KING,1,LEUNG HO MAN,4254,D,True
592,L24,TIN KING,2,LEUNG YAT LONG,758,D,False
593,L24,TIN KING,3,LUI MEI YUK,37,I,False
594,L24,TIN KING,4,LEE HUNG SHAM LOTHAR,3038,B,False
595,L25,PO TIN,1,SO KA MAN,2562,B,True
596,L25,PO TIN,2,CHEUNG TSAN WA,1885,D,False
597,L26,KIN SANG,1,CHAN MAN WAH,3096,B,False
598,L26,KIN SANG,2,LAW PEI LEE,4730,D,True
599,L27,SIU HONG,1,MO SHING FUNG,2939,B,False
600,L27,SIU HONG,2,CHAN SHU YING JOSEPHINE,3784,D,True
601,L28,YAN TIN,1,WONG CHI CHUN,611,I,False
602,L28,YAN TIN,2,"LAI KA MAN
(APPLE)",2203,B,True
603,L28,YAN TIN,3,LO WAI MING,1865,D,False
604,L29,TUEN MUN RURAL,1,TO SHECK YUEN,2513,B,False
605,L29,TUEN MUN RURAL,2,CHEUNG KAM HUNG KENNETH,3797,D,True
606,L30,FU TAI,1,HO KWOK HO,5590,D,True
607,L30,FU TAI,2,CHAN MANWELL,3461,B,False
608,L31,PRIME VIEW,1,HO HANG MUI,5534,D,True
609,L31,PRIME VIEW,2,KWONG MAN TIK,2649,B,False
610,M01,FUNG NIN,1,"CHAN KING LUN KISSLAN
(K-SIR)",3476,D,True
611,M01,FUNG NIN,2,LUI KIN,3003,B,False
612,M02,YUEN LONG CENTRE,1,SIU LONG MING,1797,B,False
613,M02,YUEN LONG CENTRE,2,SHEK KING CHING,2637,D,True
614,M03,FUNG CHEUNG,1,CHONG CHIN MING,2448,B,False
615,M03,FUNG CHEUNG,2,MAK IP SING,3832,D,True
616,M04,YUEN LUNG,1,CHEUNG SAU YIN,3177,D,True
617,M04,YUEN LUNG,2,CHOW LOK NING ERIC,7,I,False
618,M04,YUEN LUNG,3,WONG WAI SHUN,2281,B,False
619,M05,SHAP PAT HEUNG CENTRAL,1,"FONG HO HIN
(WILLIS)",4013,D,True
620,M05,SHAP PAT HEUNG CENTRAL,2,CHOW YIP MING,139,I,False
621,M05,SHAP PAT HEUNG CENTRAL,3,LEUNG MING KIN,2473,B,False
622,M06,SHUI PIN,1,POON SIN MAN IVALINE,86,D,False
623,M06,SHUI PIN,2,YUEN MAN YEE,3466,B,False
624,M06,SHUI PIN,3,LAI KWOK WING,3799,D,True
625,M07,NAM PING,1,LAM WAI MING,2102,B,False
626,M07,NAM PING,2,WONG WAI YIN ZACHARY,3727,D,True
627,M07,NAM PING,3,CHAN WAI YI,126,I,False
628,M08,PEK LONG,1,TAM WAI LAM AUGUST,2584,B,False
629,M08,PEK LONG,2,KWONG CHUN YU,4382,D,True
630,M09,YUEN LONG TUNG TAU,1,LAM TING WAI,2377,D,True
631,M09,YUEN LONG TUNG TAU,2,LI KAI LAP RIBEN,1614,B,False
632,M10,SHAP PAT HEUNG NORTH,1,LAU CHUN YU ADRIAN,1602,D,False
633,M10,SHAP PAT HEUNG NORTH,2,SHUM HO KIT,1896,B,True
634,M11,SHAP PAT HEUNG EAST,1,LAM TIM FOOK,1500,B,False
635,M11,SHAP PAT HEUNG EAST,2,LEE CHUN WAI,1838,D,True
636,M11,SHAP PAT HEUNG EAST,3,WONG PAK YAN,488,B,False
637,M12,SHAP PAT HEUNG WEST,1,SZE-TO POK MAN,3391,D,True
638,M12,SHAP PAT HEUNG WEST,2,CHAN YAU HUNG,344,B,False
639,M12,SHAP PAT HEUNG WEST,3,LEUNG FUK YUEN,3080,B,False
640,M13,PING SHAN SOUTH,1,WONG CHUNG MING,18,I,False
641,M13,PING SHAN SOUTH,2,LEUNG TAK MING,3172,D,True
642,M13,PING SHAN SOUTH,3,TANG LUNG WAI,529,D,False
643,M13,PING SHAN SOUTH,4,CHEUNG WAI SUM,2270,B,False
644,M14,HUNG FUK,1,CHAN SHU FAI EDDIE,1780,D,True
645,M14,HUNG FUK,2,POON SIN YAN,12,I,False
646,M14,HUNG FUK,3,CHUI KWAN SIU,1626,B,False
647,M15,HA TSUEN,1,TUNG CHING KON,2091,D,False
648,M15,HA TSUEN,2,TANG KA LEUNG,2937,B,True
649,M16,PING SHAN CENTRAL,1,TANG TAT SIN,2294,B,False
650,M16,PING SHAN CENTRAL,2,CHEUNG CHI YEUNG FELIX,2479,D,True
651,M17,SHING YAN,1,CHONG HO FUNG,1195,B,False
652,M17,SHING YAN,2,LAM WAI MING,1495,B,False
653,M17,SHING YAN,3,NG KA CHUN,61,D,False
654,M17,SHING YAN,4,WONG KWOK HUNG,60,D,False
655,M17,SHING YAN,5,AU KWOK KUEN,3530,D,True
656,M18,TIN SHING,1,CHAN SZE CHING,2830,B,False
657,M18,TIN SHING,2,HAU MAN KIN,3347,D,True
658,M19,TIN YIU,1,LEUNG CHIN HANG,372,D,False
659,M19,TIN YIU,2,HO WAI PAN,3513,D,True
660,M19,TIN YIU,3,SZE TO CHUN HIN,2408,B,False
661,M19,TIN YIU,4,CHAN FOR YI,55,I,False
662,M20,YIU YAU,1,MA SHUK YIN,2444,B,False
663,M20,YIU YAU,2,NG HIN WANG,4027,D,True
664,M21,TSZ YAU,1,CHAN MEI LIN,4238,D,True
665,M21,TSZ YAU,2,SO YUEN,2376,B,False
666,M22,KINGSWOOD SOUTH,1,CHAM KA HUNG DANIEL,3159,B,False
667,M22,KINGSWOOD SOUTH,2,"NG YUK YING
(KATY)",3882,D,True
668,M23,SHUI OI,1,TONG TAK CHUN,3005,B,False
669,M23,SHUI OI,2,"LAI PO WA
(SANDY LAI)",4605,D,True
670,M23,SHUI OI,3,WONG CHI FAI,960,I,False
671,M24,SHUI WAH,1,LAM CHUN,3955,D,True
672,M24,SHUI WAH,2,WONG CHI NGAI,528,B,False
673,M24,SHUI WAH,3,CHOW WING KAN,2264,B,False
674,M25,CHUNG WAH,1,WONG WAI LING,2680,B,False
675,M25,CHUNG WAH,2,CHAN SZE NGA,3659,D,True
676,M26,CHUNG PAK,1,CHEUNG KWOK TUNG,187,I,False
677,M26,CHUNG PAK,2,LEE WAI FUNG,3249,D,True
678,M26,CHUNG PAK,3,KWOK CHING YIN,2404,B,False
679,M27,KINGSWOOD NORTH,1,"NG KIN WAI
(MR. K)",4371,D,True
680,M27,KINGSWOOD NORTH,2,"TO HO SHUN
(JW)",177,I,False
681,M27,KINGSWOOD NORTH,3,LEE YUET MAN,4206,B,False
682,M28,YUET YAN,1,HONG CHIN WAH,3416,D,True
683,M28,YUET YAN,2,LAI YUET KWAN FENNIE,2837,B,False
684,M29,CHING KING,1,KWOK MAN HO,3809,D,True
685,M29,CHING KING,2,TANG CHEUK HIM,3154,B,False
686,M30,FU YAN,1,LAU KWAI YUNG,3557,B,False
687,M30,FU YAN,2,KWAN CHUN SANG,4325,D,True
688,M31,YAT CHAK,1,WONG WING SZE,4454,D,True
689,M31,YAT CHAK,2,FAN REGINE HUI YU,600,I,False
690,M31,YAT CHAK,3,KWOK HING PING,2607,B,False
691,M32,TIN HENG,1,WONG PAK YU,6004,D,True
692,M32,TIN HENG,2,CHAN KA CHUN,37,D,False
693,M32,TIN HENG,3,CHAN CHI SHING STANLEY,37,I,False
694,M32,TIN HENG,4,LUK CHUNG HUNG,3731,B,False
695,M33,WANG YAT,1,MO KAI HONG,5100,D,True
696,M33,WANG YAT,2,CHO KIN FOR,204,I,False
697,M33,WANG YAT,3,YIU KWOK WAI,2849,B,False
698,M33,WANG YAT,4,KWAN KA LAI,51,D,False
699,M34,PING SHAN NORTH,1,LAW TING FAI,2219,D,False
700,M34,PING SHAN NORTH,2,YOUNG KA ON,2221,B,True
701,M35,FAIRVIEW PARK,1,CHAN SANG FAT,77,I,False
702,M35,FAIRVIEW PARK,2,CHEUNG KUNG FAT,3211,B,False
703,M35,FAIRVIEW PARK,3,TO KA LUN,4329,D,True
704,M35,FAIRVIEW PARK,4,WONG WING HO ALLAN,195,B,False
705,M36,SAN TIN,1,MAN KWAI KI,160,B,False
706,M36,SAN TIN,2,CHAU CHUN KUN,161,B,False
707,M36,SAN TIN,3,TSUI KAI LUNG,2032,D,False
708,M36,SAN TIN,4,MAN FU WAN,2257,B,True
709,M37,KAM TIN,1,TANG CHEUK YIN,2293,B,False
710,M37,KAM TIN,2,"LI CHUNG CHI
(CHRIS)",2569,D,True
711,M38,PAT HEUNG NORTH,1,TANG CHI KWONG,1724,B,False
712,M38,PAT HEUNG NORTH,2,LEE KAN MING,1833,D,False
713,M38,PAT HEUNG NORTH,3,TANG YUNG YIU RONNIE,1848,B,True
714,M39,PAT HEUNG SOUTH,1,LAI WING TIM,3799,B,True
715,M39,PAT HEUNG SOUTH,2,CHUI CHEUK YIN JO,41,D,False
716,M39,PAT HEUNG SOUTH,3,CHU HOI DICK EDDIE,3435,D,False
717,N01,LUEN WO HUI,1,TSANG HING LUNG,3491,B,False
718,N01,LUEN WO HUI,2,CHOW KAM HO,4491,D,True
719,N01,LUEN WO HUI,3,KONG MEI TING,42,I,False
720,N02,FANLING TOWN,1,YIP YIU SHING CHRIS,290,I,False
721,N02,FANLING TOWN,2,WONG HOI YING,2761,D,True
722,N02,FANLING TOWN,3,PANG CHUN SING GEORGE,1830,B,False
723,N03,CHEUNG WAH,1,WONG KA HO,1381,D,False
724,N03,CHEUNG WAH,2,LAM CHI YEUNG,2678,B,False
725,N03,CHEUNG WAH,3,CHAN YUK MING,4446,D,True
726,N04,WAH DO,1,CHEUNG CHUN WAI,5288,D,True
727,N04,WAH DO,2,YIU MING,3724,B,False
728,N05,WAH MING,1,PUN HAU MAN,3124,B,False
729,N05,WAH MING,2,LAU KA HO,214,D,False
730,N05,WAH MING,3,CHAN WAI TAT,5314,D,True
731,N06,YAN SHING,1,LAM SHUK CHING,5939,D,True
732,N06,YAN SHING,2,LAU KWOK FAN,4329,B,False
733,N07,FANLING SOUTH,1,LEE LAP HONG ALMUSTAFA,668,D,False
734,N07,FANLING SOUTH,2,HO SHU KWONG RAYMOND,2507,I,False
735,N07,FANLING SOUTH,3,CHEUNG CHING HO FRANCO,2735,D,True
736,N08,SHING FUK,1,WAN WO TAT WARWICK,3181,B,True
737,N08,SHING FUK,2,WONG LEUNG HI,1754,D,False
738,N08,SHING FUK,3,LUI CHI HANG HENDRICK,2656,D,False
739,N09,CHING HO,1,CHENG SHI LAN,512,I,False
740,N09,CHING HO,2,YUEN HO LUN,3944,D,True
741,N09,CHING HO,3,LARM WAI LEUNG,2871,B,False
742,N10,YU TAI,1,TSANG KING CHUNG KENT,2981,B,False
743,N10,YU TAI,2,CHAN VINCENT CHI FUNG,3378,D,True
744,N11,SHEUNG SHUI RURAL,1,HAU FUK TAT SIMON,3371,B,True
745,N11,SHEUNG SHUI RURAL,2,HAU HIU TUNG,2589,D,False
746,N12,CHOI YUEN,1,LAM TSZ KING,4295,D,True
747,N12,CHOI YUEN,2,SO SAI CHI,3305,B,False
748,N12,CHOI YUEN,3,WONG SING CHI,177,B,False
749,N13,SHEK WU HUI,1,"LEUNG KAM SHING CLARENCE RONALD
(KAM KAM)",469,D,False
750,N13,SHEK WU HUI,2,HUNG WING YIP,2684,B,False
751,N13,SHEK WU HUI,3,LAM CHEUK TING,3926,D,True
752,N14,TIN PING WEST,1,WONG WANG TO,2925,B,False
753,N14,TIN PING WEST,2,KWOK LONG FUNG,4470,D,True
754,N15,FUNG TSUI,1,LIU HING HUNG,2963,B,False
755,N15,FUNG TSUI,2,CHIANG MAN CHING,3630,D,True
756,N16,SHA TA,1,CHOY YUK WAI LESTER JOHN,2242,D,False
757,N16,SHA TA,2,KO WAI KEI,3143,B,True
758,N17,TIN PING EAST,1,LUI YUK SHAN,143,I,False
759,N17,TIN PING EAST,2,LAU KI FUNG,4513,D,True
760,N17,TIN PING EAST,3,OR SIN YI WINDY,2500,B,False
761,N18,QUEEN'S HILL,1,TANG CHUN KIN,549,I,False
762,N18,QUEEN'S HILL,2,TANG KUN NIN TONY,2054,B,False
763,N18,QUEEN'S HILL,3,LAW TING TAK,2969,D,True
764,P01,TAI PO HUI,1,LAM MING YAT,2466,D,True
765,P01,TAI PO HUI,2,"CHEUNG KWOK WAI
(WILLIAM)",1886,B,False
766,P02,CHUNG TING,1,MAN NIM CHI,4454,D,True
767,P02,CHUNG TING,2,TAM WING FUN ERIC,2503,B,False
768,P03,TAI PO CENTRAL,1,MUI SIU FUNG,2136,B,False
769,P03,TAI PO CENTRAL,2,AU CHUN WAH,4279,D,True
770,P04,TAI YUEN,1,CHENG CHUN PING,2135,B,False
771,P04,TAI YUEN,2,AU CHUN HO,3693,D,True
772,P04,TAI YUEN,3,SO MA TSUN,442,B,False
773,P04,TAI YUEN,4,WONG TING YAN COLOR,118,I,False
774,P05,FU HENG,1,YAM MAN CHUEN,2161,D,False
775,P05,FU HENG,2,WU CHEUK HIM,2700,B,False
