,Constituency Code,Constituency,Candidate Number,Name of Candidate,No. of Votes Received,Camp,Elected
84,C10,YAN LAM,1,ISHIGAMI LEE FUNG KING ALICE,3982,D,True
85,C10,YAN LAM,2,WONG KIN HING,3543,B,False
86,C10,YAN LAM,3,TAN YI CHUN WINDY,106,I,False
87,C11,SIU SAI WAN,1,CHU YAT ON,288,B,False
88,C11,SIU SAI WAN,2,CHAN WING TAI,3212,D,True
89,C11,SIU SAI WAN,3,LI LOK YAN,2485,B,False
90,C12,KING YEE,1,YEUNG HON SING,623,B,False
91,C12,KING YEE,2,LEUNG KWOK HUNG DAVID,3079,B,False
92,C12,KING YEE,3,TSANG YAN YING,4936,D,True
93,C13,WAN TSUI,1,NG CHEUK IP,3412,D,True
94,C13,WAN TSUI,2,WONG KAM YIN,39,I,False
95,C13,WAN TSUI,3,KUNG PAK CHEUNG,2866,B,False
96,C14,FEI TSUI,1,LAI CHI KEONG JOSEPH,3591,D,True
97,C14,FEI TSUI,2,CHAN HOI WING,2742,B,False
98,C15,MOUNT PARKER,1,LAI YIK MING,2491,D,False
99,C15,MOUNT PARKER,2,"LEE CHING HAR
(ANNIE)",2664,B,True
100,C16,BRAEMAR HILL,1,LAI HOK HIM MATTHEW,2522,D,False
101,C16,BRAEMAR HILL,2,YUEN KIN CHUNG KENNY,3111,B,True
102,C17,FORTRESS HILL,1,"LO WING KWAN FRANKIE
(LO SHAN)",2634,B,False
103,C17,FORTRESS HILL,2,CHAN JASON KA YAU,3596,D,True
104,C18,CITY GARDEN,1,HUI CHING ON,2557,B,False
105,C18,CITY GARDEN,2,CHAU HUI YAN,2806,D,True
106,C18,CITY GARDEN,3,"FAN HAI TAI
(RICKY)",591,I,False
107,C19,PROVIDENT,1,KWOK WAI KEUNG,3229,B,True
108,C19,PROVIDENT,2,CHAN DUNCANN,3181,D,False
109,C19,PROVIDENT,3,LAM SZE NAM ANDREW,90,I,False
110,C20,FORT STREET,1,"FU KAI LAM
(KARRINE)",2464,D,True
111,C20,FORT STREET,2,HUNG LIN CHAM,2405,B,False
112,C21,KAM PING,1,HUNG CHI KIT,3027,B,False
113,C21,KAM PING,2,LEE YUE SHUN,3113,D,True
114,C22,TANNER,1,TSANG CHEUK YI,2899,B,False
115,C22,TANNER,2,CHENG TAT HUNG,3947,D,True
116,C23,HEALTHY VILLAGE,1,CHENG CHI SING,2609,B,False
117,C23,HEALTHY VILLAGE,2,PUI JAMES CHI LAP,2971,D,True
118,C24,QUARRY BAY,1,TING KONG HO EDDIE,2176,B,False
119,C24,QUARRY BAY,2,CHAN PO KING,2700,D,True
120,C25,NAM FUNG,1,WONG SZE CHIN RICKY,2275,B,False
121,C25,NAM FUNG,2,CHEUNG KWOK CHEONG,4315,D,True
122,C26,KORNHILL,1,"NGAI CHI HO
(DEREK)",4127,D,True
123,C26,KORNHILL,2,"CHAU CHEUK YIN
(NATHAN)",2854,B,False
124,C27,KORNHILL GARDEN,1,LAU DANA SING SHE,2564,B,False
125,C27,KORNHILL GARDEN,2,LEUNG SIU SUN,3727,D,True
126,C28,HING TUNG,1,HUI LAM HING,3932,B,False
127,C28,HING TUNG,2,CHEUNG CHUN KIT,5389,D,True
128,C29,LOWER YIU TUNG,1,HO WAI LUN,3771,D,True
129,C29,LOWER YIU TUNG,2,WONG CHI CHUNG,2457,B,False
130,C30,UPPER YIU TUNG,1,NG CHING CHING,3124,B,False
131,C30,UPPER YIU TUNG,2,CHOW CHEUK KI,3492,D,True
132,C31,HING MAN,1,TSE MIU YEE,3297,D,True
133,C31,HING MAN,2,LAU HING YEUNG,3113,B,False
134,C32,LOK HONG,1,LI CHUN CHAU,2800,B,False
135,C32,LOK HONG,2,"TSANG KIN SHING
(BULL)",3563,D,True
136,C33,TSUI TAK,1,CHOI CHI KEUNG PETER,2994,D,True
137,C33,TSUI TAK,2,LEE CHUN KEUNG,2612,B,False
138,C34,YUE WAN,1,WOO KIN NAM,30,I,False
139,C34,YUE WAN,2,TSAI TSUI WAN,196,I,False
140,C34,YUE WAN,3,CHUI CHI KIN,3814,D,True
141,C34,YUE WAN,4,LAU KIN,2374,B,False
142,C35,KAI HIU,1,CHIK KIT LING ELAINE,2712,B,False
143,C35,KAI HIU,2,LAI TSZ YAN,3200,D,True
144,C35,KAI HIU,3,TAN CHUN CHUN ENKI,581,B,False
145,D01,ABERDEEN,1,WONG YUI HEI ANGUS,5001,D,True
146,D01,ABERDEEN,2,YAM PAULINE,3020,B,False
147,D01,ABERDEEN,3,LEE KIN SHING,31,I,False
148,D02,AP LEI CHAU ESTATE,1,LAM YUK CHUN,3274,B,True
149,D02,AP LEI CHAU ESTATE,2,CHAN PO MING,3092,D,False
150,D03,AP LEI CHAU NORTH,1,CHAN PING YEUNG,3136,D,True
151,D03,AP LEI CHAU NORTH,2,CHEUNG SIK YUNG,1932,B,False
152,D04,LEI TUNG I,1,NG ALBERT KAI SAN,2258,B,False
153,D04,LEI TUNG I,2,CHAN YAN YI,3827,D,True
154,D05,LEI TUNG II,1,LO KIN HEI,4737,D,True
155,D05,LEI TUNG II,2,TAN JINJIE,2801,B,False
156,D06,SOUTH HORIZONS EAST,1,LAM KAI FAI,2960,B,False
157,D06,SOUTH HORIZONS EAST,2,YU CHUN HEI JAMES,3750,D,True
158,D07,SOUTH HORIZONS WEST,1,LAM HO POR KELVIN,4164,D,True
159,D07,SOUTH HORIZONS WEST,2,CHAN JUDY KAPUI,3236,B,False
160,D08,WAH KWAI,1,POON PING HONG,4540,D,True
161,D08,WAH KWAI,2,MAK TSE HOW LING ADA,3111,B,False
